🎯 Contexte
Un utilisateur achète un produit via une marketplace qui propose une offre de cashback. Après plusieurs jours/semaines, il ne voit pas le cashback crédité et décide de faire une réclamation.

| **Étape**                       | **Actions de l'utilisateur**                                                          | **Emotions**                 | **Points de contact**                         | **Opportunités d'amélioration**                                                                |
| ------------------------------- | ------------------------------------------------------------------------------------- | ---------------------------- | --------------------------------------------- | ---------------------------------------------------------------------------------------------- |
| 1. Achat                        | L’utilisateur achète un produit avec cashback.                                        | Enthousiasme, confiance      | Page produit, email de confirmation           | Rendre le cashback plus visible dans le panier et dans le mail de confirmation.                |
| 2. Attente                      | L’utilisateur attend le cashback (5-15 jours).                                        | Impatience, doute            | Espace "Mon compte", FAQ                      | Afficher un compteur ou une date estimée de réception du cashback.                             |
| 3. Constat de problème          | Le cashback n’apparaît pas après la période annoncée.                                 | Frustration, incompréhension | Espace client, FAQ                            | Alerte automatique si un cashback est en retard.                                               |
| 4. Recherche d’assistance       | L’utilisateur cherche comment faire une réclamation (via FAQ, chat, formulaire).      | Confusion, agacement         | Centre d’aide, chatbot, formulaire de contact | Proposer un bouton “Signaler un cashback manquant” directement dans l’historique d’achat.      |
| 5. Soumission de la réclamation | Il remplit un formulaire avec les preuves d’achat, captures, etc.                     | Stress, lassitude            | Formulaire SAV, email de confirmation         | Pré-remplir les infos connues (commande, date, cashback prévu).                                |
| 6. Attente de réponse           | L’utilisateur attend un retour du support (souvent plusieurs jours).                  | Doute, méfiance              | Email, notifications push                     | Fournir un suivi en temps réel de la réclamation ("Réclamation en cours", délai estimé, etc.). |
| 7. Résolution ou refus          | Il reçoit une réponse : cashback validé/crédité ou refusé (avec ou sans explication). | Soulagement ou colère        | Email, compte client                          | Clarifier les raisons en cas de refus, proposer une médiation automatisée si besoin.           |
| 8. Feedback ou abandon          | Il laisse un avis, ou décide de ne plus utiliser la plateforme.                       | Déception ou satisfaction    | Enquête post-réclamation, réseaux sociaux     | Recueillir du feedback systématique sur la qualité du traitement des réclamations.             |

